Unnamed: 0,StudentId,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,Gender_female,Gender_male,LunchType_free/reduced,LunchType_standard
0.0,520645.0,female,2,1,standard,1,1,1,1,3.0,1,1,71.0,71.0,74.0,1.0,0.0,0.0,1.0
1.0,303683.0,female,2,5,standard,1,1,2,1,0.0,2,0,69.0,90.0,88.0,1.0,0.0,0.0,1.0
2.0,457351.0,female,1,3,standard,1,2,2,1,4.0,1,1,87.0,93.0,91.0,1.0,0.0,0.0,1.0
3.0,812988.0,male,0,0,free/reduced,1,1,0,0,1.0,2,0,45.0,56.0,42.0,0.0,1.0,1.0,0.0
4.0,594678.0,male,2,5,standard,1,1,2,1,0.0,1,0,76.0,78.0,75.0,0.0,1.0,0.0,1.0
5.0,957515.0,female,1,0,standard,1,1,1,1,1.0,1,0,73.0,84.0,79.0,1.0,0.0,0.0,1.0
6.0,582817.0,female,1,5,standard,0,3,0,0,1.0,0,0,85.0,93.0,89.0,1.0,0.0,0.0,1.0
7.0,887931.0,male,1,5,free/reduced,1,1,2,1,1.0,0,2,41.0,43.0,39.0,0.0,1.0,1.0,0.0
8.0,693744.0,male,3,2,free/reduced,0,2,2,0,3.0,0,2,65.0,64.0,68.0,0.0,1.0,1.0,0.0
9.0,927529.0,female,1,2,free/reduced,1,1,1,1,2.0,0,1,37.0,59.0,50.0,1.0,0.0,1.0,0.0
10.0,820437.0,male,2,0,standard,1,1,2,1,1.0,0,0,58.0,54.0,52.0,0.0,1.0,0.0,1.0
11.0,364121.0,male,3,0,standard,1,0,2,1,1.0,1,0,40.0,52.0,43.0,0.0,1.0,0.0,1.0
12.0,554510.0,female,1,2,standard,1,1,1,0,1.0,0,0,66.0,82.0,74.0,1.0,0.0,0.0,1.0
13.0,144885.0,male,0,5,standard,0,2,2,1,1.0,0,2,80.0,73.0,71.0,0.0,1.0,0.0,1.0
14.0,872279.0,female,0,3,standard,1,0,2,1,2.0,0,1,48.0,53.0,58.0,1.0,0.0,0.0,1.0
15.0,434837.0,female,2,6,standard,1,1,2,1,0.0,0,0,69.0,75.0,78.0,1.0,0.0,0.0,1.0
16.0,129542.0,male,2,2,standard,1,1,2,1,0.0,1,0,88.0,89.0,86.0,0.0,1.0,0.0,1.0
17.0,682358.0,female,1,6,free/reduced,1,0,2,1,1.0,1,0,18.0,32.0,28.0,1.0,0.0,1.0,0.0
18.0,890114.0,male,2,3,free/reduced,0,2,2,0,1.0,0,0,46.0,42.0,47.0,0.0,1.0,1.0,0.0
19.0,973613.0,female,2,0,free/reduced,1,1,0,1,3.0,0,1,50.0,56.0,58.0,1.0,0.0,1.0,0.0
20.0,543909.0,male,3,2,standard,1,1,2,1,5.0,1,0,66.0,69.0,63.0,0.0,1.0,0.0,1.0
21.0,174002.0,female,1,5,free/reduced,0,1,2,0,2.0,1,0,65.0,75.0,70.0,1.0,0.0,1.0,0.0
22.0,640537.0,male,3,4,standard,1,1,0,1,5.0,2,0,42.0,53.0,51.0,0.0,1.0,0.0,1.0
23.0,780418.0,female,2,6,standard,1,0,0,0,3.0,2,0,66.0,71.0,71.0,1.0,0.0,0.0,1.0
24.0,341539.0,male,3,4,free/reduced,0,1,2,1,2.0,1,0,74.0,71.0,80.0,0.0,1.0,1.0,0.0
25.0,337076.0,male,0,3,free/reduced,1,1,1,1,1.0,1,0,75.0,76.0,76.0,0.0,1.0,1.0,0.0
26.0,538844.0,male,1,5,standard,1,1,2,1,5.0,1,1,66.0,53.0,53.0,0.0,1.0,0.0,1.0
27.0,333586.0,female,2,1,standard,1,1,2,1,4.0,1,2,69.0,70.0,76.0,1.0,0.0,0.0,1.0
28.0,162589.0,male,2,2,standard,1,1,2,0,1.0,0,0,70.0,70.0,65.0,0.0,1.0,0.0,1.0
30.0,488741.0,female,3,5,standard,1,2,2,1,0.0,0,1,66.0,72.0,72.0,1.0,0.0,0.0,1.0
31.0,678985.0,female,1,5,standard,1,2,2,1,5.0,2,0,63.0,65.0,61.0,1.0,0.0,0.0,1.0
32.0,599825.0,female,4,3,free/reduced,1,0,2,1,1.0,1,0,56.0,73.0,66.0,1.0,0.0,1.0,0.0
33.0,652991.0,male,2,5,standard,1,1,2,0,2.0,0,0,40.0,42.0,38.0,0.0,1.0,0.0,1.0
34.0,800359.0,male,4,5,standard,1,0,2,1,0.0,1,0,97.0,87.0,82.0,0.0,1.0,0.0,1.0
35.0,215228.0,male,4,0,standard,0,2,2,0,2.0,1,0,81.0,81.0,79.0,0.0,1.0,0.0,1.0
36.0,411139.0,female,3,0,standard,1,1,1,0,2.0,0,0,76.0,82.0,85.0,1.0,0.0,0.0,1.0
37.0,915662.0,female,3,6,free/reduced,1,1,1,1,1.0,0,0,51.0,64.0,60.0,1.0,0.0,1.0,0.0
38.0,171856.0,female,3,0,free/reduced,0,1,1,0,1.0,1,0,77.0,91.0,90.0,1.0,0.0,1.0,0.0
39.0,958605.0,male,1,0,free/reduced,1,2,1,1,5.0,1,0,58.0,56.0,58.0,0.0,1.0,1.0,0.0
40.0,348583.0,male,2,0,free/reduced,1,1,0,1,0.0,1,0,53.0,60.0,52.0,0.0,1.0,1.0,0.0
41.0,747955.0,female,2,0,standard,1,0,1,0,1.0,2,0,59.0,74.0,69.0,1.0,0.0,0.0,1.0
43.0,696649.0,male,1,5,free/reduced,1,1,1,1,3.0,1,0,60.0,65.0,67.0,0.0,1.0,1.0,0.0
44.0,833403.0,female,4,0,free/reduced,1,1,2,1,5.0,1,1,48.0,55.0,52.0,1.0,0.0,1.0,0.0
45.0,470561.0,male,1,0,standard,1,2,2,1,3.0,1,1,63.0,53.0,55.0,0.0,1.0,0.0,1.0
47.0,966415.0,female,2,2,standard,1,1,1,1,2.0,0,0,67.0,72.0,77.0,1.0,0.0,0.0,1.0
51.0,757243.0,male,2,0,free/reduced,0,1,1,0,2.0,0,1,76.0,68.0,68.0,0.0,1.0,0.0,1.0
52.0,614008.0,male,2,5,standard,1,0,1,1,3.0,1,2,56.0,45.0,43.0,1.0,0.0,1.0,0.0
53.0,180844.0,male,3,2,standard,1,2,2,1,2.0,1,0,88.0,78.0,75.0,1.0,0.0,1.0,0.0
54.0,376350.0,female,2,6,free/reduced,0,1,1,1,2.0,0,2,75.0,86.0,90.0,1.0,0.0,0.0,1.0
55.0,279771.0,female,2,2,free/reduced,1,0,2,1,2.0,0,0,33.0,41.0,43.0,0.0,1.0,0.0,1.0
56.0,119819.0,female,4,0,standard,0,1,2,1,3.0,1,2,84.0,86.0,87.0,0.0,1.0,0.0,1.0
57.0,118095.0,male,3,0,standard,1,2,2,0,2.0,0,0,52.0,55.0,49.0,1.0,0.0,1.0,0.0
58.0,970664.0,male,3,4,standard,0,1,1,0,1.0,0,2,61.0,60.0,60.0,0.0,1.0,1.0,0.0
59.0,197936.0,female,2,6,free/reduced,1,2,1,1,3.0,1,2,0.0,17.0,10.0,0.0,1.0,1.0,0.0
61.0,847364.0,male,0,6,free/reduced,1,1,2,1,2.0,1,0,39.0,39.0,34.0,1.0,0.0,0.0,1.0
62.0,955779.0,male,0,0,free/reduced,1,1,2,1,5.0,0,0,62.0,61.0,55.0,0.0,1.0,0.0,1.0
64.0,429599.0,female,3,6,standard,1,1,2,1,0.0,1,0,59.0,58.0,59.0,0.0,1.0,1.0,0.0
65.0,562601.0,male,1,6,standard,1,1,0,1,1.0,0,1,63.0,62.0,58.0,1.0,0.0,0.0,1.0
66.0,830619.0,male,3,6,free/reduced,1,1,2,1,4.0,1,0,45.0,37.0,37.0,0.0,1.0,1.0,0.0
67.0,423706.0,female,2,5,standard,1,1,1,0,3.0,1,0,61.0,73.0,75.0,1.0,0.0,0.0,1.0
68.0,126364.0,male,1,0,free/reduced,1,0,1,0,3.0,1,0,62.0,58.0,57.0,0.0,1.0,0.0,1.0
69.0,724066.0,female,2,0,standard,1,2,2,1,3.0,1,0,39.0,64.0,57.0,1.0,0.0,1.0,0.0
71.0,805683.0,male,3,5,standard,0,0,2,1,3.0,0,2,64.0,55.0,64.0,0.0,1.0,1.0,0.0
72.0,396525.0,female,0,0,free/reduced,1,2,1,0,1.0,0,0,42.0,51.0,49.0,0.0,1.0,0.0,1.0
73.0,418322.0,male,2,6,free/reduced,1,0,0,1,3.0,1,0,59.0,56.0,54.0,0.0,1.0,1.0,0.0
74.0,530337.0,male,2,6,standard,1,1,2,1,2.0,0,1,47.0,48.0,40.0,0.0,1.0,0.0,1.0
75.0,366719.0,male,1,0,free/reduced,1,0,2,0,2.0,1,0,44.0,41.0,38.0,0.0,1.0,0.0,1.0
76.0,234258.0,male,4,6,standard,1,1,2,0,5.0,1,0,28.0,25.0,21.0,1.0,0.0,0.0,1.0
77.0,206587.0,male,0,4,standard,0,1,1,1,2.0,2,0,82.0,79.0,83.0,1.0,0.0,0.0,1.0
78.0,325890.0,female,3,6,standard,0,0,2,1,2.0,1,2,62.0,75.0,73.0,0.0,1.0,1.0,0.0
79.0,513070.0,female,4,3,standard,1,0,0,1,1.0,1,0,60.0,68.0,68.0,0.0,1.0,1.0,0.0
81.0,954235.0,male,1,2,free/reduced,1,1,2,1,0.0,0,0,49.0,45.0,45.0,1.0,0.0,0.0,1.0
82.0,713395.0,male,0,5,free/reduced,0,1,2,0,2.0,1,0,50.0,47.0,54.0,1.0,0.0,1.0,0.0
83.0,531141.0,male,4,0,standard,1,1,1,1,0.0,0,0,74.0,64.0,64.0,1.0,0.0,0.0,1.0
85.0,843015.0,female,2,5,standard,1,0,2,1,0.0,0,0,73.0,80.0,82.0,1.0,0.0,0.0,1.0
